,id,name,des,functionDes,shop_des
备注,id,名称,描述,功能描述,商城功能描述
,12,联盟勋章,自律联盟专门为下属的公会铸制的纪念勋章。上面刻印着联盟的徽记。,可在“贩售商城·联盟”中购买物品。,可在“贩售商城·联盟”中购买物品。
,123,自律联盟凭证,不论何时，遵守联盟铁律——认真、恪守、奉献。,可在“荣光指挥所”接取指令。,可在“荣光指挥所”接取指令。
,120012,友达投递券,风迹速递发布的特别速递券，凭此券可在风迹快递的任意分部申请一次友情速递服务。,可签收<color=#bd4104>1</color>件友达投递。,可签收<color=#bd4104>1</color>件友达投递。
,120013,艾恩速达券,风迹速递发布的高级速递券，凭此券可在风迹快递的任意分部申请一次速递服务。,可<color=#bd4104>不消耗罗兰钻</color>，签收<color=#bd4104>1</color>件艾恩速达。,可<color=#bd4104>不消耗罗兰钻</color>，签收<color=#bd4104>1</color>件艾恩速达。
,2000054,基础冶金凛剂,平平无奇的冶金凛剂，在商铺内可以轻易买到。,用于合成紫色装备进阶道具,用于合成紫色装备进阶道具
,2000064,初级冶金凛剂,研究学者们对它进行简单的提纯后，它的价值有了质的飞跃。,用于合成橙色装备进阶道具,用于合成橙色装备进阶道具
,2000074,中级冶金凛剂,经过多道提炼工序后，冶金凛剂成为了商铺内的抢手货。,用于合成橙色R装备进阶道具,用于合成橙色R装备进阶道具
高级升星石,2120013,琉晶,埋藏在岩洞深处的绝美晶石，当中些许的杂质仿佛夜空中的星光。,用于装备突破10、20、30、40、50、60、70级,用于装备突破10、20、30、40、50、60、70级
,2120102,星晶石·兵刃,埋藏在岩洞深处的绝美晶石，当中些许的杂质仿佛夜空中的星光。,用于武器突破30、40、50、60级,用于武器突破30、40、50、60级
,2120103,优质星晶石·兵刃,晶石中没有丝毫杂质，剔透得犹如装载了整个银河。,用于武器突破50、60、70级,用于武器突破50、60、70级
,2120202,星晶石·上衣,埋藏在岩洞深处的绝美晶石，当中些许的杂质仿佛夜空中的星光。,用于衣服突破30、40、50、60级,用于衣服突破30、40、50、60级
,2120203,优质星晶石·上衣,晶石中没有丝毫杂质，剔透得犹如装载了整个银河。,用于衣服突破50、60、70级,用于衣服突破50、60、70级
,2120302,星晶石·下装,埋藏在岩洞深处的绝美晶石，当中些许的杂质仿佛夜空中的星光。,用于裤子突破30、40、50、60级,用于裤子突破30、40、50、60级
,2120303,优质星晶石·下装,晶石中没有丝毫杂质，剔透得犹如装载了整个银河。,用于裤子突破50、60、70级,用于裤子突破50、60、70级
,2120402,星晶石·足靴,埋藏在岩洞深处的绝美晶石，当中些许的杂质仿佛夜空中的星光。,用于鞋子突破30、40、50、60级,用于鞋子突破30、40、50、60级
,2120403,优质星晶石·足靴,晶石中没有丝毫杂质，剔透得犹如装载了整个银河。,用于鞋子突破50、60、70级,用于鞋子突破50、60、70级
